Lng,lat,Zona,Salida,Duracion,Categoria,Entrada
-58.48705484526906,-37.1532789220161,Centro,1590076629077,1588486552807,6,1590076270
-58.485494941933325,-37.1528881437067,Centro,1590076874353,201198,6,1590076673155
-58.48599180685624,-37.15335711613372,Centro,1590081389353,9183019,6,1590072206334
-58.48814650053535,-37.14976086027407,Centro,1590081571224,296213,6,1590081275011
-58.48778742301751,-37.153375691517184,Centro,1590082417286,836910,6,1590081580376
-58.48671547733019,-37.15396954540812,Centro,1590082562410,1588492480425,6,1590081985
-58.48824208872774,-37.149703198139065,Centro,1590083759501,1674953,6,1590082084548
-58.48573560579343,-37.153927237439504,Centro,1590088290022,493764,6,1590087796258
-58.48408033554385,-37.15550092558317,Centro,1590109220990,18213268,6,1590091007722
-58.486773185856315,-37.15227498614793,Centro,1590088599,-1588497577556,6,1590087666155
-58.484844798496674,-37.153936893930805,Centro,1590422899669,5212026,6,1590417687643
-58.489264576040426,-37.154274847193385,Centro,1590417865453,340676,6,1590417524777
-58.48857704607779,-37.15392480553169,Centro,1590417722622,1588827305951,6,1590416671
-58.48560548153873,-37.15421481227168,Centro,1590418700182,397435,6,1590418302747
-58.486702569554915,-37.153895774642294,Centro,1590419660,1308,6,1590418352
-58.48771396134798,-37.15338155433,Centro,1590505865652,230561,6,1590505635091
-58.48407039675243,-37.15549516937239,Centro,1590113407775,3753876,6,1590109653899
-58.4840802345228,-37.15549941630775,Centro,1590114695378,996567,6,1590113698811
-58.484847403823764,-37.15393513304119,Centro,1590155681754,1588565535995,6,1590145759
-58.48760160848954,-37.152920467965174,Centro,1590146055882,216160,6,1590145839722
-58.48406819443809,-37.15548005073859,Centro,1590151392342,36303447,6,1590115088895
-58.48754152173913,-37.152693985507234,Centro,1590492149,115,6,1590492034
-58.48924041969118,-37.15436429483313,Centro,1590154422836,1588564268789,6,1590154047
-58.48478974424125,-37.15398575985715,Centro,1590150088784,1588559939215,6,1590149569
-58.487247833614234,-37.153080634139826,Centro,1590150266511,269313,6,1590149997198
-58.48408082204145,-37.15550528498334,Centro,1590154305669,1130218,6,1590153175451
-58.48409609244124,-37.155357218306676,Centro,1590165046633,9970009,6,1590155076624
-58.48787916769148,-37.153288872075564,Centro,1590156584,1773,6,1590154811
-58.48917943458803,-37.15429731479027,Centro,1590263539696,235966,6,1590263303730
-58.48406659128903,-37.15549899338251,Centro,1590430749925,1588840328151,6,1590421774
-58.48407320930686,-37.154790055548176,Centro,1590353671727,6551460,6,1590347120267
-58.488185632993094,-37.14990240901261,Centro,1590421602923,294210,6,1590421308713
-58.48779491267442,-37.15134454732558,Centro,1590423104,301,6,1590422803
-58.48844612002008,-37.149825590257855,Centro,1590442577148,21448592,6,1590421128556
-58.48725615716925,-37.15307892464981,Centro,1590161510,514,6,1590160996
-58.48385537010512,-37.15382005717032,Centro,1590159886550,1588569726981,6,1590159569
-58.484831255790816,-37.153956024937855,Centro,1590157685637,728003,6,1590156957634
-58.48924010834446,-37.15413660010993,Centro,1590159481,157,6,1590159324
-58.48575729666666,-37.15303505351853,Centro,1590161675,135,6,1590161540
-58.487619894882116,-37.15292064734704,Centro,1590162725234,144386,6,1590162580848
-58.48461010312095,-37.15350159681682,Centro,1590162582110,151353,6,1590162430757
-58.4848474052883,-37.15393421646829,Centro,1590164282947,6074235,6,1590158208712
-58.48406622751625,-37.15522180867222,Centro,1590278201652,10017012,6,1590268184640
-58.488133251451,-37.14980514816,Centro,1590425882621,160748,6,1590425721873
-58.48409636569039,-37.15543778046763,Centro,1590377553454,23229294,6,1590354324160
-58.48742949405345,-37.15284181753395,Centro,1590166048291,1588575882469,6,1590165822
-58.48673720931195,-37.15229379480807,Centro,1590164966665,14006859,6,1590150959806
-58.48532823170057,-37.15278075775555,Centro,1590172404317,1588582232563,6,1590171754
-58.4840903864502,-37.1555194742243,Centro,1590174877626,9227319,6,1590165650307
-58.48935637462413,-37.151645137582605,Centro,1590511617136,756447,6,1590510860689
-58.48937806486308,-37.156251468456766,Centro,1590513091,1552,6,1590511539
-58.48844324947024,-37.149829237767285,Centro,1590518040461,10356760,6,1590507683701
-58.48919606022022,-37.15420873392144,Centro,1590170895013,1588580724661,6,1590170352
-58.489167958733326,-37.15427752627397,Centro,1590173950573,1280882,6,1590172669691
-58.484099287930654,-37.15552165578897,Centro,1590180575169,1588590397327,6,1590177842
-58.4840926891902,-37.155512492080526,Centro,1590181757044,969957,6,1590180787087
-58.4841051306685,-37.15547923635603,Centro,1590339046229,60611657,6,1590278434572
-58.48927097792373,-37.15422424067797,Centro,1590426995,118,6,1590426877
-58.48834514445714,-37.15364885489014,Centro,1590427154034,525325,6,1590426628709
-58.4893579494412,-37.154153589907956,Centro,1590428251634,283978,6,1590427967656
-58.48676121816282,-37.15399001266253,Centro,1590435307511,1588844873370,6,1590434141
-58.484837781601975,-37.15392035953277,Centro,1590508191899,10819004,6,1590497372895
